GeneID	nReads	ftype
A1CF	24	exon
A4GNT	2	exon
AAAS	296	exon
AACS	483	exon
AADAT	200	exon
AAGAB	276	exon
AAK1	6950	exon
AAMDC	630	exon
AANAT	588	exon
AAR2	376	exon
AARS1	1355	exon
AARS2	284	exon
AASDH	20	exon
AASDHPPT	110	exon
AASS	373	exon
AATF	152	exon
AATK	1298	exon
ABAT	1029	exon
ABCA1	624	exon
ABCA12	120	exon
ABCA2	72	exon
ABCA3	1242	exon
ABCA4	47	exon
ABCB10	448	exon
ABCB11	6	exon
ABCB6	95	exon
ABCB7	133	exon
ABCB8	206	exon
ABCB9	487	exon
ABCC10	194	exon
ABCC2	147	exon
ABCC3	56	exon
ABCC4	56	exon
ABCC5	761	exon
ABCC8	125	exon
ABCC9	151	exon
ABCD1	122	exon
ABCD2	80	exon
ABCD3	1433	exon
ABCD4	211	exon
ABCE1	1364	exon
ABCF1	1905	exon
ABCF3	171	exon
ABCG1	886	exon
ABCG4	115	exon
ABHD1	88	exon
ABHD10	241	exon
ABHD11	3	exon
ABHD12	1138	exon
ABHD12B	297	exon
ABHD13	139	exon
ABHD14A	536	exon
ABHD16A	215	exon
ABHD17B	1125	exon
ABHD17C	67	exon
ABHD18	186	exon
ABHD2	1194	exon
ABHD3	571	exon
ABHD4	10	exon
ABHD5	368	exon
ABHD6	1164	exon
ABHD8	120	exon
ABI1	1009	exon
ABI2	1427	exon
ABI3	19	exon
ABITRAM	194	exon
ABL1	288	exon
ABL2	780	exon
ABLIM1	4624	exon
ABLIM2	739	exon
ABLIM3	340	exon
ABR	115	exon
ABRA	1	exon
ABRACL	6	exon
ABRAXAS1	221	exon
ABRAXAS2	661	exon
ABT1	257	exon
ABTB1	108	exon
ABTB2	490	exon
ACAA1	295	exon
ACAA2	628	exon
ACACA	209	exon
ACACB	116	exon
ACAD10	22	exon
ACAD11	51	exon
ACAD8	368	exon
ACAD9	623	exon
ACADL	143	exon
ACADM	1072	exon
ACADS	162	exon
ACADSB	652	exon
ACADVL	112	exon
ACAN	150	exon
ACAP1	29	exon
ACAP2	646	exon
ACAP3	607	exon
ACAT1	1293	exon
ACBD3	887	exon
ACBD4	364	exon
ACBD5	340	exon
ACBD6	898	exon
ACBD7	3038	exon
ACCS	430	exon
ACE	143	exon
ACER2	40	exon
ACER3	144	exon
ACHE	437	exon
ACIN1	612	exon
ACKR1	6	exon
ACKR3	433	exon
ACLY	13599	exon
ACO1	354	exon
ACO2	3909	exon
